登録番号,資料名,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,点数＊,状態＊,備考＊,収蔵場所,旧蔵者,受入年月,受入方法,収蔵場所,所蔵者,調査年月,調査者,撮影備考
ODK00095,長持,木,金属,,,,,,1点,,車輪付き。中に物あり。綛・すだれ・藁等。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00096,綱,藁,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00097,籠,竹,金属,,,,,,1点,破損（一部）,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00098,牛のくつわ,植物繊維,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00099,焼印「中林」（6）,木,金属,,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00100,刃物,木,金属,,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00101,焼印「水沢中林」,木,金属,,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00102,焼印「大」,金属,,,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00103,焼印「中」,木,金属,,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00104,焼印「塩」,木,金属,,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00105,鏝,木,金属,,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00106,焼しるし付け,木,金属,,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00107,焼印「中」,木,金属,植物繊維,,,,,1点,,ODK00099からODK00107まで括り。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00108,馬具,植物繊維,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00109,馬のさど掛け,植物繊維,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00110,馬のさど掛け,植物繊維,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00111,馬の藁沓（まぐつ）,藁,植物繊維,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00112,馬のくちかご,藁,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00113,馬のくちかご,藁,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00114,馬のくちかご,藁,,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00115,縄,藁,植物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00116,草鞋,藁,植物繊維,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00117,はんばきヵ,藁,植物繊維,,,,,,1対(2点),,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00118,はだこもヵ,藁,植物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00119,背負籠（こだし）,藁,植物繊維,,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00120,笊,木,竹,植物繊維,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00121,笊,木,竹,植物繊維,,,,,1点,,,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00122,じょうご,竹,木,植物繊維,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00123,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00124,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00125,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00126,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00127,籠（糸かえし籠ヵ）,竹,植物繊維,,,,,,1点,,底に穴が空いている。胴体部分に糸が巻かれている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00128,籠,竹,藁,,,,,,1点,,藁紐付き,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00129,籠（オモゲ又は糸かえし籠ヵ）,竹,植物繊維,紙,,,,,1点,,底に穴が空いている。胴体部分に新聞紙が巻かれ、その上にさらに糸が巻かれている。,入り口左奥,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
